"Domain"	"Country"	"Item"	"Element"	"Year"	"Value"
"Livestock Primary"	"Bosnia and Herzegovina"	"Meat indigenous, chicken"	"Production (1000 Head)"	2011	"31145.0"
"Livestock Primary"	"Bosnia and Herzegovina"	"Meat, chicken"	"Producing Animals/Slaughtered (1000 Head)"	2011	"32381.0"
"Livestock Primary"	"Botswana"	"Meat indigenous, chicken"	"Production (1000 Head)"	2011	"8092.0"
"Livestock Primary"	"Botswana"	"Meat, chicken"	"Producing Animals/Slaughtered (1000 Head)"	2011	"8800.0"
"Livestock Primary"	"Brazil"	"Meat indigenous, chicken"	"Production (1000 Head)"	2011	"5312852.0"
"Livestock Primary"	"Brazil"	"Meat, chicken"	"Producing Animals/Slaughtered (1000 Head)"	2011	"5287702.0"
"Livestock Primary"	"Brunei Darussalam"	"Meat indigenous, chicken"	"Production (1000 Head)"	2011	"20600.0"
"Livestock Primary"	"Brunei Darussalam"	"Meat, chicken"	"Producing Animals/Slaughtered (1000 Head)"	2011	"21200.0"
"Livestock Primary"	"Bulgaria"	"Meat indigenous, chicken"	"Production (1000 Head)"	2011	"64161.0"
"Livestock Primary"	"Bulgaria"	"Meat, chicken"	"Producing Animals/Slaughtered (1000 Head)"	2011	"48584.0"
"Livestock Primary"	"Burkina Faso"	"Meat indigenous, chicken"	"Production (1000 Head)"	2011	"47834.0"
"Livestock Primary"	"Burkina Faso"	"Meat, chicken"	"Producing Animals/Slaughtered (1000 Head)"	2011	"47800.0"
"Livestock Primary"	"Burundi"	"Meat indigenous, chicken"	"Production (1000 Head)"	2011	"7582.0"
"Livestock Primary"	"Burundi"	"Meat, chicken"	"Producing Animals/Slaughtered (1000 Head)"	2011	"7650.0"
"Livestock Primary"	"Cabo Verde"	"Meat indigenous, chicken"	"Production (1000 Head)"	2011	"842.0"
"Livestock Primary"	"Cabo Verde"	"Meat, chicken"	"Producing Animals/Slaughtered (1000 Head)"	2011	"990.0"
"Livestock Primary"	"Cambodia"	"Meat indigenous, chicken"	"Production (1000 Head)"	2011	"18875.0"
"Livestock Primary"	"Cambodia"	"Meat, chicken"	"Producing Animals/Slaughtered (1000 Head)"	2011	"19000.0"
"Livestock Primary"	"Cameroon"	"Meat indigenous, chicken"	"Production (1000 Head)"	2011	"87252.0"
