Datatype,Source,Target,Product,Valuetype,Year,Value,
Detailed trade matrix,"China, Hong Kong SAR",Republic of Korea,Soybeans,Import Quantity (tonnes),2011,78.0,
Detailed trade matrix,"China, Hong Kong SAR",United States of America,Soybeans,Import Quantity (tonnes),2011,505.0,
Detailed trade matrix,"China, Macao SAR",Canada,Soybeans,Import Quantity (tonnes),2011,453.0,
Detailed trade matrix,"China, Macao SAR","China, Hong Kong SAR",Soybeans,Import Quantity (tonnes),2011,0.0,
Detailed trade matrix,"China, Macao SAR","China, mainland",Cattle,Import Quantity (Head),2011,2800.0,
Detailed trade matrix,"China, Macao SAR","China, mainland",Soybeans,Import Quantity (tonnes),2011,65.0,
Detailed trade matrix,"China, Macao SAR","China, Taiwan Province of",Soybeans,Import Quantity (tonnes),2011,0.0,
Detailed trade matrix,"China, Macao SAR",India,Soybeans,Import Quantity (tonnes),2011,0.0,
Detailed trade matrix,"China, Macao SAR",Thailand,Soybeans,Import Quantity (tonnes),2011,0.0,
Detailed trade matrix,"China, Macao SAR",United States of America,Soybeans,Import Quantity (tonnes),2011,11.0,
Detailed trade matrix,"China, mainland",Argentina,Soybeans,Import Quantity (tonnes),2011,7781391.0,
Detailed trade matrix,"China, mainland",Australia,Cattle,Import Quantity (Head),2011,54299.0,
Detailed trade matrix,"China, mainland",Belgium,Soybeans,Import Quantity (tonnes),2011,0.0,
Detailed trade matrix,"China, mainland",Brazil,Soybeans,Import Quantity (tonnes),2011,2.062187E7,
Detailed trade matrix,"China, mainland",Canada,Soybeans,Import Quantity (tonnes),2011,387971.0,
Detailed trade matrix,"China, mainland",Chile,Soybeans,Import Quantity (tonnes),2011,0.0,
Detailed trade matrix,"China, mainland",New Zealand,Cattle,Import Quantity (Head),2011,28272.0,
Detailed trade matrix,"China, mainland",Russian Federation,Soybeans,Import Quantity (tonnes),2011,3678.0,
Detailed trade matrix,"China, mainland",Thailand,Soybeans,Import Quantity (tonnes),2011,0.0,
Detailed trade matrix,"China, mainland",United States of America,Soybeans,Import Quantity (tonnes),2011,2.222683E7,
Detailed trade matrix,"China, mainland",Uruguay,Cattle,Import Quantity (Head),2011,16777.0,
Detailed trade matrix,"China, mainland",Uruguay,Soybeans,Import Quantity (tonnes),2011,1431106.0,
Detailed trade matrix,"China, Taiwan Province of",Argentina,Soybeans,Import Quantity (tonnes),2011,470.0,
Detailed trade matrix,"China, Taiwan Province of",Australia,Cattle,Import Quantity (Head),2011,1153.0,
Detailed trade matrix,"China, Taiwan Province of",Australia,Soybeans,Import Quantity (tonnes),2011,1268.0,
Detailed trade matrix,"China, Taiwan Province of",Brazil,Soybeans,Import Quantity (tonnes),2011,990337.0,
Detailed trade matrix,"China, Taiwan Province of",Canada,Soybeans,Import Quantity (tonnes),2011,6703.0,
Detailed trade matrix,"China, Taiwan Province of","China, mainland",Soybeans,Import Quantity (tonnes),2011,4597.0,
Detailed trade matrix,"China, Taiwan Province of",India,Soybeans,Import Quantity (tonnes),2011,1757.0,
Detailed trade matrix,"China, Taiwan Province of",Japan,Soybeans,Import Quantity (tonnes),2011,0.0,
Detailed trade matrix,"China, Taiwan Province of",Malaysia,Soybeans,Import Quantity (tonnes),2011,22.0,
Detailed trade matrix,"China, Taiwan Province of",Myanmar,Soybeans,Import Quantity (tonnes),2011,88.0,
Detailed trade matrix,"China, Taiwan Province of",Paraguay,Soybeans,Import Quantity (tonnes),2011,48025.0,
Detailed trade matrix,"China, Taiwan Province of",South Africa,Soybeans,Import Quantity (tonnes),2011,22.0,
Detailed trade matrix,"China, Taiwan Province of",Thailand,Soybeans,Import Quantity (tonnes),2011,221.0,
Detailed trade matrix,"China, Taiwan Province of",Ukraine,Soybeans,Import Quantity (tonnes),2011,6972.0,
Detailed trade matrix,"China, Taiwan Province of",United States of America,Soybeans,Import Quantity (tonnes),2011,1285245.0,
Detailed trade matrix,"China, Taiwan Province of",Viet Nam,Soybeans,Import Quantity (tonnes),2011,3.0,
Detailed trade matrix,Colombia,Argentina,Soybeans,Import Quantity (tonnes),2011,115767.0,
Detailed trade matrix,Colombia,Bolivia (Plurinational State of),Soybeans,Import Quantity (tonnes),2011,21.0,
Detailed trade matrix,Colombia,Brazil,Soybeans,Import Quantity (tonnes),2011,1.0,
Detailed trade matrix,Colombia,Canada,Cattle,Import Quantity (Head),2011,94.0,
Detailed trade matrix,Colombia,China,Soybeans,Import Quantity (tonnes),2011,3.0,
Detailed trade matrix,Colombia,"China, mainland",Soybeans,Import Quantity (tonnes),2011,0.0,
Detailed trade matrix,Colombia,"China, Taiwan Province of",Soybeans,Import Quantity (tonnes),2011,3.0,
Detailed trade matrix,Colombia,Ecuador,Soybeans,Import Quantity (tonnes),2011,34.0,
Detailed trade matrix,Colombia,Italy,Soybeans,Import Quantity (tonnes),2011,385.0,
Detailed trade matrix,Colombia,Panama,Soybeans,Import Quantity (tonnes),2011,1650.0,
Detailed trade matrix,Colombia,Paraguay,Soybeans,Import Quantity (tonnes),2011,67462.0,
Detailed trade matrix,Colombia,United States of America,Soybeans,Import Quantity (tonnes),2011,90615.0,
Detailed trade matrix,Costa Rica,Brazil,Soybeans,Import Quantity (tonnes),2011,8.0,
Detailed trade matrix,Costa Rica,Canada,Soybeans,Import Quantity (tonnes),2011,0.0,
Detailed trade matrix,Costa Rica,China,Soybeans,Import Quantity (tonnes),2011,3.0,
Detailed trade matrix,Costa Rica,"China, mainland",Soybeans,Import Quantity (tonnes),2011,3.0,
Detailed trade matrix,Costa Rica,Colombia,Soybeans,Import Quantity (tonnes),2011,0.0,
Detailed trade matrix,Costa Rica,Germany,Soybeans,Import Quantity (tonnes),2011,0.0,
Detailed trade matrix,Costa Rica,Guatemala,Cattle,Import Quantity (Head),2011,652.0,*
Detailed trade matrix,Costa Rica,Honduras,Cattle,Import Quantity (Head),2011,18.0,
Detailed trade matrix,Costa Rica,Honduras,Soybeans,Import Quantity (tonnes),2011,0.0,
Detailed trade matrix,Costa Rica,Mexico,Cattle,Import Quantity (Head),2011,19.0,
Detailed trade matrix,Costa Rica,Nicaragua,Cattle,Import Quantity (Head),2011,293.0,
Detailed trade matrix,Costa Rica,Panama,Cattle,Import Quantity (Head),2011,125.0,*
Detailed trade matrix,Costa Rica,United States of America,Cattle,Import Quantity (Head),2011,40.0,
Detailed trade matrix,Costa Rica,United States of America,Soybeans,Import Quantity (tonnes),2011,212440.0,
Detailed trade matrix,C̫te d'Ivoire,Burkina Faso,Cattle,Import Quantity (Head),2011,117.0,
Detailed trade matrix,C̫te d'Ivoire,China,Soybeans,Import Quantity (tonnes),2011,0.0,
Detailed trade matrix,C̫te d'Ivoire,"China, mainland",Soybeans,Import Quantity (tonnes),2011,0.0,
Detailed trade matrix,C̫te d'Ivoire,Ghana,Cattle,Import Quantity (Head),2011,46.0,
Detailed trade matrix,C̫te d'Ivoire,Lebanon,Soybeans,Import Quantity (tonnes),2011,0.0,
Detailed trade matrix,C̫te d'Ivoire,Niger,Cattle,Import Quantity (Head),2011,18.0,
Detailed trade matrix,C̫te d'Ivoire,Republic of Korea,Soybeans,Import Quantity (tonnes),2011,0.0,
Detailed trade matrix,Croatia,Austria,Cattle,Import Quantity (Head),2011,648.0,
Detailed trade matrix,Croatia,Austria,Soybeans,Import Quantity (tonnes),2011,187.0,
Detailed trade matrix,Croatia,Belgium,Soybeans,Import Quantity (tonnes),2011,9.0,
Detailed trade matrix,Croatia,Bulgaria,Cattle,Import Quantity (Head),2011,240.0,
Detailed trade matrix,Croatia,China,Soybeans,Import Quantity (tonnes),2011,4.0,
Detailed trade matrix,Croatia,"China, mainland",Soybeans,Import Quantity (tonnes),2011,4.0,
Detailed trade matrix,Croatia,Czech Republic,Cattle,Import Quantity (Head),2011,22921.0,
Detailed trade matrix,Croatia,Denmark,Cattle,Import Quantity (Head),2011,517.0,
Detailed trade matrix,Croatia,Estonia,Cattle,Import Quantity (Head),2011,1.0,
Detailed trade matrix,Croatia,France,Cattle,Import Quantity (Head),2011,72.0,
Detailed trade matrix,Croatia,France,Soybeans,Import Quantity (tonnes),2011,4.0,
Detailed trade matrix,Croatia,Germany,Cattle,Import Quantity (Head),2011,8182.0,
Detailed trade matrix,Croatia,Germany,Soybeans,Import Quantity (tonnes),2011,1.0,
Detailed trade matrix,Croatia,Hungary,Cattle,Import Quantity (Head),2011,5535.0,
Detailed trade matrix,Croatia,Hungary,Soybeans,Import Quantity (tonnes),2011,26.0,
Detailed trade matrix,Croatia,Ireland,Cattle,Import Quantity (Head),2011,36.0,
Detailed trade matrix,Croatia,Italy,Cattle,Import Quantity (Head),2011,1000.0,
Detailed trade matrix,Croatia,Italy,Soybeans,Import Quantity (tonnes),2011,2.0,
Detailed trade matrix,Croatia,Lithuania,Cattle,Import Quantity (Head),2011,29.0,
Detailed trade matrix,Croatia,Netherlands,Cattle,Import Quantity (Head),2011,404.0,
Detailed trade matrix,Croatia,Netherlands,Soybeans,Import Quantity (tonnes),2011,35.0,
Detailed trade matrix,Croatia,Poland,Cattle,Import Quantity (Head),2011,28624.0,
Detailed trade matrix,Croatia,Romania,Cattle,Import Quantity (Head),2011,71465.0,
Detailed trade matrix,Croatia,Serbia,Soybeans,Import Quantity (tonnes),2011,3621.0,
Detailed trade matrix,Croatia,Slovakia,Cattle,Import Quantity (Head),2011,12146.0,
Detailed trade matrix,Croatia,Slovenia,Cattle,Import Quantity (Head),2011,3.0,
Detailed trade matrix,Croatia,United Kingdom,Cattle,Import Quantity (Head),2011,77.0,
Detailed trade matrix,Cyprus,Germany,Soybeans,Import Quantity (tonnes),2011,0.0,
Detailed trade matrix,Cyprus,Greece,Soybeans,Import Quantity (tonnes),2011,0.0,
Detailed trade matrix,Cyprus,Italy,Soybeans,Import Quantity (tonnes),2011,50.0,
Detailed trade matrix,Cyprus,United Kingdom,Soybeans,Import Quantity (tonnes),2011,1.0,
Detailed trade matrix,Czech Republic,Austria,Cattle,Import Quantity (Head),2011,2.0,
Detailed trade matrix,Czech Republic,Austria,Soybeans,Import Quantity (tonnes),2011,764.0,
Detailed trade matrix,Czech Republic,Belgium,Cattle,Import Quantity (Head),2011,1.0,
Detailed trade matrix,Czech Republic,Belgium,Soybeans,Import Quantity (tonnes),2011,1006.0,
Detailed trade matrix,Czech Republic,Canada,Soybeans,Import Quantity (tonnes),2011,447.0,
Detailed trade matrix,Czech Republic,China,Soybeans,Import Quantity (tonnes),2011,66.0,
Detailed trade matrix,Czech Republic,"China, mainland",Soybeans,Import Quantity (tonnes),2011,66.0,
Detailed trade matrix,Czech Republic,Croatia,Soybeans,Import Quantity (tonnes),2011,49.0,
Detailed trade matrix,Czech Republic,Denmark,Soybeans,Import Quantity (tonnes),2011,1.0,
Detailed trade matrix,Czech Republic,France,Cattle,Import Quantity (Head),2011,30.0,
Detailed trade matrix,Czech Republic,Germany,Cattle,Import Quantity (Head),2011,58.0,
Detailed trade matrix,Czech Republic,Germany,Soybeans,Import Quantity (tonnes),2011,24538.0,
Detailed trade matrix,Czech Republic,Italy,Soybeans,Import Quantity (tonnes),2011,13.0,
Detailed trade matrix,Czech Republic,Netherlands,Cattle,Import Quantity (Head),2011,183.0,
Detailed trade matrix,Czech Republic,Netherlands,Soybeans,Import Quantity (tonnes),2011,1351.0,
Detailed trade matrix,Czech Republic,Poland,Soybeans,Import Quantity (tonnes),2011,0.0,
Detailed trade matrix,Czech Republic,Portugal,Soybeans,Import Quantity (tonnes),2011,0.0,
Detailed trade matrix,Czech Republic,Slovakia,Cattle,Import Quantity (Head),2011,1202.0,
Detailed trade matrix,Czech Republic,Slovakia,Soybeans,Import Quantity (tonnes),2011,1672.0,
Detailed trade matrix,Czech Republic,Sweden,Soybeans,Import Quantity (tonnes),2011,24.0,
Detailed trade matrix,Czech Republic,Ukraine,Soybeans,Import Quantity (tonnes),2011,80.0,
Detailed trade matrix,Czech Republic,United Kingdom,Soybeans,Import Quantity (tonnes),2011,2.0,
Detailed trade matrix,Czech Republic,Viet Nam,Soybeans,Import Quantity (tonnes),2011,27.0,
Detailed trade matrix,Denmark,Argentina,Soybeans,Import Quantity (tonnes),2011,39.0,
Detailed trade matrix,Denmark,Australia,Soybeans,Import Quantity (tonnes),2011,0.0,
Detailed trade matrix,Denmark,Austria,Soybeans,Import Quantity (tonnes),2011,354.0,
Detailed trade matrix,Denmark,Belgium,Soybeans,Import Quantity (tonnes),2011,1290.0,
Detailed trade matrix,Denmark,Canada,Soybeans,Import Quantity (tonnes),2011,63835.0,
Detailed trade matrix,Denmark,Germany,Soybeans,Import Quantity (tonnes),2011,5378.0,
Detailed trade matrix,Denmark,Italy,Soybeans,Import Quantity (tonnes),2011,8902.0,
Detailed trade matrix,Denmark,Lithuania,Soybeans,Import Quantity (tonnes),2011,123.0,
Detailed trade matrix,Denmark,Netherlands,Soybeans,Import Quantity (tonnes),2011,1247.0,
Detailed trade matrix,Denmark,Sri Lanka,Soybeans,Import Quantity (tonnes),2011,0.0,
Detailed trade matrix,Denmark,Sweden,Soybeans,Import Quantity (tonnes),2011,1.0,
Detailed trade matrix,Denmark,Thailand,Soybeans,Import Quantity (tonnes),2011,56.0,
Detailed trade matrix,Denmark,United Kingdom,Soybeans,Import Quantity (tonnes),2011,4.0,
Detailed trade matrix,Ecuador,Brazil,Soybeans,Import Quantity (tonnes),2011,0.0,
Detailed trade matrix,Ecuador,Colombia,Cattle,Import Quantity (Head),2011,12.0,
Detailed trade matrix,Ecuador,Colombia,Soybeans,Import Quantity (tonnes),2011,339.0,
Detailed trade matrix,Ecuador,Japan,Soybeans,Import Quantity (tonnes),2011,0.0,
Detailed trade matrix,Ecuador,United States of America,Soybeans,Import Quantity (tonnes),2011,10.0,
Detailed trade matrix,Egypt,Argentina,Soybeans,Import Quantity (tonnes),2011,413166.0,
Detailed trade matrix,Egypt,Australia,Cattle,Import Quantity (Head),2011,14602.0,
Detailed trade matrix,Egypt,Brazil,Soybeans,Import Quantity (tonnes),2011,16950.0,
Detailed trade matrix,Egypt,Canada,Soybeans,Import Quantity (tonnes),2011,89890.0,
Detailed trade matrix,Egypt,China,Soybeans,Import Quantity (tonnes),2011,11.0,
Detailed trade matrix,Egypt,"China, mainland",Soybeans,Import Quantity (tonnes),2011,11.0,
Detailed trade matrix,Egypt,Croatia,Cattle,Import Quantity (Head),2011,9418.0,
Detailed trade matrix,Egypt,Djibouti,Cattle,Import Quantity (Head),2011,5296.0,
Detailed trade matrix,Egypt,Ethiopia,Cattle,Import Quantity (Head),2011,19263.0,
Detailed trade matrix,Egypt,Germany,Cattle,Import Quantity (Head),2011,5463.0,
Detailed trade matrix,Egypt,Hungary,Cattle,Import Quantity (Head),2011,778.0,
Detailed trade matrix,Egypt,India,Soybeans,Import Quantity (tonnes),2011,0.0,
Detailed trade matrix,Egypt,Netherlands,Cattle,Import Quantity (Head),2011,3078.0,
Detailed trade matrix,Egypt,Romania,Cattle,Import Quantity (Head),2011,810.0,
Detailed trade matrix,Egypt,Thailand,Soybeans,Import Quantity (tonnes),2011,0.0,
Detailed trade matrix,Egypt,Ukraine,Soybeans,Import Quantity (tonnes),2011,110133.0,
Detailed trade matrix,Egypt,United States of America,Soybeans,Import Quantity (tonnes),2011,485646.0,
Detailed trade matrix,El Salvador,China,Soybeans,Import Quantity (tonnes),2011,0.0,
Detailed trade matrix,El Salvador,"China, Taiwan Province of",Soybeans,Import Quantity (tonnes),2011,0.0,
Detailed trade matrix,El Salvador,Colombia,Soybeans,Import Quantity (tonnes),2011,0.0,
Detailed trade matrix,El Salvador,Costa Rica,Cattle,Import Quantity (Head),2011,80.0,
Detailed trade matrix,El Salvador,Guatemala,Cattle,Import Quantity (Head),2011,2590.0,
Detailed trade matrix,El Salvador,Guatemala,Soybeans,Import Quantity (tonnes),2011,19.0,
Detailed trade matrix,El Salvador,Honduras,Cattle,Import Quantity (Head),2011,115.0,
Detailed trade matrix,El Salvador,Nicaragua,Cattle,Import Quantity (Head),2011,198.0,
Detailed trade matrix,El Salvador,Nicaragua,Soybeans,Import Quantity (tonnes),2011,217.0,
Detailed trade matrix,El Salvador,United States of America,Soybeans,Import Quantity (tonnes),2011,0.0,
Detailed trade matrix,Estonia,Austria,Soybeans,Import Quantity (tonnes),2011,2.0,
Detailed trade matrix,Estonia,Belgium,Soybeans,Import Quantity (tonnes),2011,1.0,
Detailed trade matrix,Estonia,China,Soybeans,Import Quantity (tonnes),2011,17.0,
Detailed trade matrix,Estonia,"China, mainland",Soybeans,Import Quantity (tonnes),2011,17.0,
Detailed trade matrix,Estonia,Czech Republic,Cattle,Import Quantity (Head),2011,14.0,
Detailed trade matrix,Estonia,Denmark,Soybeans,Import Quantity (tonnes),2011,5.0,
Detailed trade matrix,Estonia,Finland,Cattle,Import Quantity (Head),2011,104.0,
Detailed trade matrix,Estonia,Finland,Soybeans,Import Quantity (tonnes),2011,2.0,
Detailed trade matrix,Estonia,France,Cattle,Import Quantity (Head),2011,7.0,
Detailed trade matrix,Estonia,Germany,Cattle,Import Quantity (Head),2011,8.0,
Detailed trade matrix,Estonia,Germany,Soybeans,Import Quantity (tonnes),2011,0.0,
Detailed trade matrix,Estonia,Latvia,Soybeans,Import Quantity (tonnes),2011,1784.0,
Detailed trade matrix,Estonia,Lithuania,Soybeans,Import Quantity (tonnes),2011,5.0,
Detailed trade matrix,Estonia,Netherlands,Cattle,Import Quantity (Head),2011,202.0,
Detailed trade matrix,Estonia,Netherlands,Soybeans,Import Quantity (tonnes),2011,144.0,
Detailed trade matrix,Estonia,Slovakia,Soybeans,Import Quantity (tonnes),2011,25.0,
Detailed trade matrix,Estonia,United Kingdom,Cattle,Import Quantity (Head),2011,2.0,
Detailed trade matrix,Ethiopia,China,Soybeans,Import Quantity (tonnes),2011,3.0,
Detailed trade matrix,Ethiopia,"China, mainland",Soybeans,Import Quantity (tonnes),2011,3.0,
Detailed trade matrix,Ethiopia,Ethiopia,Soybeans,Import Quantity (tonnes),2011,3.0,
Detailed trade matrix,Ethiopia,India,Soybeans,Import Quantity (tonnes),2011,1400.0,
Detailed trade matrix,Ethiopia,Netherlands,Cattle,Import Quantity (Head),2011,1058.0,
Detailed trade matrix,Fiji,Australia,Soybeans,Import Quantity (tonnes),2011,1.0,
Detailed trade matrix,Fiji,China,Soybeans,Import Quantity (tonnes),2011,6.0,
Detailed trade matrix,Fiji,"China, Hong Kong SAR",Soybeans,Import Quantity (tonnes),2011,1.0,
Detailed trade matrix,Fiji,"China, mainland",Soybeans,Import Quantity (tonnes),2011,5.0,
Detailed trade matrix,Fiji,India,Soybeans,Import Quantity (tonnes),2011,5.0,
Detailed trade matrix,Fiji,Japan,Soybeans,Import Quantity (tonnes),2011,0.0,
Detailed trade matrix,Fiji,New Zealand,Cattle,Import Quantity (Head),2011,1.0,
Detailed trade matrix,Fiji,New Zealand,Soybeans,Import Quantity (tonnes),2011,0.0,
Detailed trade matrix,Finland,Belgium,Soybeans,Import Quantity (tonnes),2011,2514.0,
Detailed trade matrix,Finland,Canada,Soybeans,Import Quantity (tonnes),2011,3150.0,
Detailed trade matrix,Finland,China,Soybeans,Import Quantity (tonnes),2011,4.0,
Detailed trade matrix,Finland,"China, mainland",Soybeans,Import Quantity (tonnes),2011,4.0,
Detailed trade matrix,Finland,Denmark,Soybeans,Import Quantity (tonnes),2011,53.0,
Detailed trade matrix,Finland,Estonia,Soybeans,Import Quantity (tonnes),2011,5.0,
Detailed trade matrix,Finland,France,Soybeans,Import Quantity (tonnes),2011,6.0,
Detailed trade matrix,Finland,Germany,Soybeans,Import Quantity (tonnes),2011,5.0,
Detailed trade matrix,Finland,Italy,Soybeans,Import Quantity (tonnes),2011,22.0,
Detailed trade matrix,Finland,Netherlands,Soybeans,Import Quantity (tonnes),2011,127.0,
Detailed trade matrix,Finland,Sweden,Soybeans,Import Quantity (tonnes),2011,31.0,
Detailed trade matrix,Finland,United Kingdom,Soybeans,Import Quantity (tonnes),2011,0.0,
Detailed trade matrix,Finland,United States of America,Soybeans,Import Quantity (tonnes),2011,304.0,
Detailed trade matrix,France,Austria,Soybeans,Import Quantity (tonnes),2011,527.0,
Detailed trade matrix,France,Belgium,Cattle,Import Quantity (Head),2011,12444.0,
Detailed trade matrix,France,Belgium,Soybeans,Import Quantity (tonnes),2011,28561.0,
Detailed trade matrix,France,Brazil,Soybeans,Import Quantity (tonnes),2011,124851.0,
Detailed trade matrix,France,Canada,Soybeans,Import Quantity (tonnes),2011,105427.0,
Detailed trade matrix,France,Chile,Soybeans,Import Quantity (tonnes),2011,0.0,
Detailed trade matrix,France,China,Soybeans,Import Quantity (tonnes),2011,87.0,
Detailed trade matrix,France,"China, mainland",Soybeans,Import Quantity (tonnes),2011,87.0,
Detailed trade matrix,France,Czech Republic,Cattle,Import Quantity (Head),2011,81.0,
Detailed trade matrix,France,Germany,Cattle,Import Quantity (Head),2011,1994.0,
Detailed trade matrix,France,Germany,Soybeans,Import Quantity (tonnes),2011,415.0,
Detailed trade matrix,France,India,Soybeans,Import Quantity (tonnes),2011,80.0,
Detailed trade matrix,France,Ireland,Cattle,Import Quantity (Head),2011,434.0,
Detailed trade matrix,France,Italy,Cattle,Import Quantity (Head),2011,441.0,
Detailed trade matrix,France,Italy,Soybeans,Import Quantity (tonnes),2011,13034.0,
Detailed trade matrix,France,Japan,Soybeans,Import Quantity (tonnes),2011,2.0,
Detailed trade matrix,France,Luxembourg,Cattle,Import Quantity (Head),2011,110.0,
Detailed trade matrix,France,Mauritius,Soybeans,Import Quantity (tonnes),2011,0.0,
Detailed trade matrix,France,Netherlands,Cattle,Import Quantity (Head),2011,37726.0,
Detailed trade matrix,France,Netherlands,Soybeans,Import Quantity (tonnes),2011,6872.0,
Detailed trade matrix,France,Paraguay,Soybeans,Import Quantity (tonnes),2011,173266.0,
Detailed trade matrix,France,Republic of Korea,Soybeans,Import Quantity (tonnes),2011,0.0,
Detailed trade matrix,France,Romania,Soybeans,Import Quantity (tonnes),2011,47.0,
Detailed trade matrix,France,Spain,Cattle,Import Quantity (Head),2011,43173.0,
Detailed trade matrix,France,Spain,Soybeans,Import Quantity (tonnes),2011,6243.0,
Detailed trade matrix,France,Switzerland,Cattle,Import Quantity (Head),2011,57.0,
Detailed trade matrix,France,Switzerland,Soybeans,Import Quantity (tonnes),2011,22.0,
Detailed trade matrix,France,Thailand,Soybeans,Import Quantity (tonnes),2011,2.0,
Detailed trade matrix,France,Trinidad and Tobago,Soybeans,Import Quantity (tonnes),2011,0.0,
Detailed trade matrix,France,United Kingdom,Soybeans,Import Quantity (tonnes),2011,37.0,
Detailed trade matrix,France,United States of America,Soybeans,Import Quantity (tonnes),2011,212164.0,
Detailed trade matrix,French Polynesia,Canada,Soybeans,Import Quantity (tonnes),2011,2.0,
Detailed trade matrix,French Polynesia,China,Soybeans,Import Quantity (tonnes),2011,0.0,
Detailed trade matrix,French Polynesia,"China, mainland",Soybeans,Import Quantity (tonnes),2011,0.0,
Detailed trade matrix,French Polynesia,"China, Taiwan Province of",Soybeans,Import Quantity (tonnes),2011,0.0,
Detailed trade matrix,French Polynesia,France,Soybeans,Import Quantity (tonnes),2011,0.0,
Detailed trade matrix,French Polynesia,Italy,Soybeans,Import Quantity (tonnes),2011,0.0,
Detailed trade matrix,French Polynesia,Thailand,Soybeans,Import Quantity (tonnes),2011,2.0,
Detailed trade matrix,French Polynesia,United States of America,Soybeans,Import Quantity (tonnes),2011,1.0,
Detailed trade matrix,Gambia,United Kingdom,Cattle,Import Quantity (Head),2011,0.0,
Detailed trade matrix,Georgia,Azerbaijan,Cattle,Import Quantity (Head),2011,88.0,
Detailed trade matrix,Georgia,Germany,Cattle,Import Quantity (Head),2011,63.0,
Detailed trade matrix,Georgia,Italy,Soybeans,Import Quantity (tonnes),2011,6.0,
Detailed trade matrix,Georgia,Turkey,Soybeans,Import Quantity (tonnes),2011,1.0,
Detailed trade matrix,Germany,Argentina,Soybeans,Import Quantity (tonnes),2011,0.0,
Detailed trade matrix,Germany,Austria,Cattle,Import Quantity (Head),2011,24064.0,
Detailed trade matrix,Germany,Austria,Soybeans,Import Quantity (tonnes),2011,10469.0,
Detailed trade matrix,Germany,Belgium,Cattle,Import Quantity (Head),2011,3787.0,
Detailed trade matrix,Germany,Belgium,Soybeans,Import Quantity (tonnes),2011,5245.0,
Detailed trade matrix,Germany,Brazil,Soybeans,Import Quantity (tonnes),2011,725156.0,
Detailed trade matrix,Germany,Canada,Cattle,Import Quantity (Head),2011,39.0,
Detailed trade matrix,Germany,Canada,Soybeans,Import Quantity (tonnes),2011,278083.0,
Detailed trade matrix,Germany,China,Soybeans,Import Quantity (tonnes),2011,2261.0,
Detailed trade matrix,Germany,"China, mainland",Soybeans,Import Quantity (tonnes),2011,2261.0,
Detailed trade matrix,Germany,Costa Rica,Soybeans,Import Quantity (tonnes),2011,0.0,
Detailed trade matrix,Germany,Czech Republic,Cattle,Import Quantity (Head),2011,18653.0,
Detailed trade matrix,Germany,Czech Republic,Soybeans,Import Quantity (tonnes),2011,2039.0,
Detailed trade matrix,Germany,Denmark,Cattle,Import Quantity (Head),2011,5255.0,
Detailed trade matrix,Germany,Denmark,Soybeans,Import Quantity (tonnes),2011,3168.0,
Detailed trade matrix,Germany,Estonia,Cattle,Import Quantity (Head),2011,203.0,
Detailed trade matrix,Germany,France,Cattle,Import Quantity (Head),2011,19480.0,
Detailed trade matrix,Germany,France,Soybeans,Import Quantity (tonnes),2011,2113.0,
Detailed trade matrix,Germany,Hungary,Cattle,Import Quantity (Head),2011,3671.0,
Detailed trade matrix,Germany,Hungary,Soybeans,Import Quantity (tonnes),2011,171.0,
Detailed trade matrix,Germany,India,Soybeans,Import Quantity (tonnes),2011,4.0,
Detailed trade matrix,Germany,Ireland,Cattle,Import Quantity (Head),2011,6.0,
Detailed trade matrix,Germany,Italy,Cattle,Import Quantity (Head),2011,1921.0,
Detailed trade matrix,Germany,Italy,Soybeans,Import Quantity (tonnes),2011,20529.0,
Detailed trade matrix,Germany,Japan,Soybeans,Import Quantity (tonnes),2011,36.0,
Detailed trade matrix,Germany,Latvia,Cattle,Import Quantity (Head),2011,1046.0,
Detailed trade matrix,Germany,Luxembourg,Cattle,Import Quantity (Head),2011,10941.0,
Detailed trade matrix,Germany,Luxembourg,Soybeans,Import Quantity (tonnes),2011,406.0,
Detailed trade matrix,Germany,Netherlands,Cattle,Import Quantity (Head),2011,17438.0,
Detailed trade matrix,Germany,Netherlands,Soybeans,Import Quantity (tonnes),2011,934523.0,
Detailed trade matrix,Germany,Paraguay,Soybeans,Import Quantity (tonnes),2011,448414.0,
Detailed trade matrix,Germany,Poland,Cattle,Import Quantity (Head),2011,270.0,
Detailed trade matrix,Germany,Republic of Korea,Soybeans,Import Quantity (tonnes),2011,4.0,
Detailed trade matrix,Germany,Romania,Cattle,Import Quantity (Head),2011,1946.0,
Detailed trade matrix,Germany,Romania,Soybeans,Import Quantity (tonnes),2011,7615.0,
Detailed trade matrix,Germany,Switzerland,Cattle,Import Quantity (Head),2011,76.0,
Detailed trade matrix,Germany,Switzerland,Soybeans,Import Quantity (tonnes),2011,35.0,
Detailed trade matrix,Germany,Thailand,Soybeans,Import Quantity (tonnes),2011,7.0,
Detailed trade matrix,Germany,Ukraine,Soybeans,Import Quantity (tonnes),2011,55065.0,
Detailed trade matrix,Germany,United Kingdom,Cattle,Import Quantity (Head),2011,3.0,
Detailed trade matrix,Germany,United Kingdom,Soybeans,Import Quantity (tonnes),2011,20.0,
Detailed trade matrix,Germany,United States of America,Soybeans,Import Quantity (tonnes),2011,496484.0,
Detailed trade matrix,Germany,Uruguay,Soybeans,Import Quantity (tonnes),2011,197733.0,
Detailed trade matrix,Ghana,Belgium,Cattle,Import Quantity (Head),2011,0.0,
